date,close,volume,amount,pe_ttm,pe_median,pb,pb_median,dividend_yield
2010-06-01,2744.16,44851426.0,,15.45,22.9,2.37,3.02,
2010-06-02,2757.53,39587020.0,,15.41,23.01,2.36,3.04,
2010-06-03,2736.08,39587258.0,,15.3,22.91,2.35,2.99,
2010-06-04,2744.39,32746291.0,,15.28,23.23,2.36,3.01,
2010-06-07,2695.72,39541993.0,,14.97,22.7,2.31,2.99,
2010-06-08,2699.34,35140182.0,,14.96,22.93,2.31,3.01,
2010-06-09,2782.13,60209533.0,,15.41,23.55,2.37,3.09,
2010-06-10,2750.02,42906334.0,,15.25,23.29,2.35,3.07,
2010-06-11,2758.87,40558585.0,,15.31,23.36,2.36,3.07,
2010-06-17,2742.73,32612356.0,,15.29,23.13,2.36,3.07,
2010-06-18,2696.17,41808344.0,,15.08,22.46,2.33,2.98,
2010-06-21,2780.66,55261482.0,,15.54,23.29,2.4,3.06,
2010-06-22,2783.72,39096052.0,,15.54,23.3,2.4,3.08,
2010-06-23,2758.5,35600350.0,,15.41,23.11,2.38,3.07,
2010-06-24,2757.5,29220682.0,,15.4,23.0,2.39,3.07,
2010-06-25,2736.29,30671782.0,,15.34,22.73,2.38,3.0,
2010-06-28,2716.78,27710044.0,,15.25,22.43,2.37,2.96,
2010-06-29,2592.02,48758552.0,,14.64,21.43,2.27,2.78,
2010-06-30,2563.07,35698794.0,,14.51,20.77,2.25,2.74,
2010-07-01,2526.07,32857646.0,,14.53,20.12,2.24,2.67,
2010-07-02,2534.11,44914100.0,,14.62,20.29,2.25,2.74,
2010-07-05,2512.65,32178574.0,,14.52,19.93,2.24,2.72,
2010-07-06,2562.9,39714762.0,,14.8,20.31,2.28,2.78,
2010-07-07,2580.48,35720909.0,,14.85,20.72,2.29,2.83,
2010-07-08,2575.92,34056966.0,,14.78,20.49,2.3,2.79,
2010-07-09,2647.1,58493045.0,,15.11,21.21,2.35,2.86,
2010-07-12,2676.22,58462491.0,,15.22,21.49,2.37,2.89,
2010-07-13,2634.59,43228506.0,,14.97,20.95,2.33,2.84,
2010-07-14,2653.61,46688860.0,,15.08,21.07,2.34,2.85,
2010-07-15,2608.52,40440459.0,,14.82,20.64,2.3,2.75,
2010-07-16,2616.13,35063302.0,,14.81,20.85,2.3,2.8,
2010-07-19,2682.47,53868070.0,,15.15,21.61,2.33,2.88,
2010-07-20,2741.5,73128345.0,,15.44,22.22,2.38,2.99,
2010-07-21,2747.34,70757092.0,,15.46,22.47,2.38,3.01,
2010-07-22,2781.29,61064806.0,,15.62,22.69,2.41,3.08,
2010-07-23,2793.08,64518565.0,,15.69,22.9,2.42,3.08,
2010-07-26,2811.05,53580026.0,,15.76,23.06,2.43,3.09,
2010-07-27,2795.72,49799884.0,,15.67,22.88,2.42,3.1,
2010-07-28,2863.72,79985954.0,,16.03,23.45,2.47,3.16,
2010-07-29,2877.98,95965409.0,,15.98,23.6,2.44,3.18,
2010-07-30,2868.85,62575591.0,,15.89,23.2,2.43,3.16,
2010-08-02,2917.27,71743300.0,,16.11,24.02,2.46,3.21,
2010-08-03,2865.97,81748364.0,,15.82,24.01,2.42,3.15,
2010-08-04,2876.43,71318039.0,,15.86,24.06,2.42,3.17,
2010-08-05,2850.83,67157581.0,,15.7,23.72,2.4,3.14,
2010-08-06,2897.66,74914895.0,,15.9,23.74,2.43,3.24,
2010-08-09,2918.24,74726391.0,,15.94,23.84,2.44,3.25,
2010-08-10,2832.64,78435034.0,,15.5,22.83,2.37,3.14,
2010-08-11,2850.21,54979133.0,,15.55,23.13,2.38,3.15,
2010-08-12,2816.39,59893227.0,,15.32,22.7,2.35,3.11,
2010-08-13,2855.55,58507721.0,,15.48,23.09,2.37,3.19,
2010-08-16,2922.08,81068043.0,,15.78,23.77,2.42,3.26,
2010-08-17,2942.29,76452912.0,,15.82,23.75,2.43,3.29,
2010-08-18,2937.36,70747600.0,,15.73,23.55,2.42,3.28,
2010-08-19,2955.4,76924865.0,,15.83,23.56,2.44,3.29,
2010-08-20,2898.33,71663306.0,,15.54,22.85,2.4,3.16,
2010-08-23,2896.19,48915517.0,,15.41,22.89,2.39,3.16,
2010-08-24,2911.83,61093796.0,,15.45,23.04,2.4,3.16,
2010-08-25,2843.02,63610621.0,,15.13,22.46,2.35,3.04,
2010-08-26,2850.09,48670442.0,,15.09,22.58,2.35,3.07,
2010-08-27,2858.57,40789582.0,,14.89,22.47,2.32,3.1,
2010-08-30,2915.01,65749882.0,,14.87,22.91,2.35,3.07,
2010-08-31,2903.19,65766104.0,,14.7,22.58,2.34,3.05,
2010-09-01,2884.04,76975578.0,,14.64,22.52,2.33,3.01,
2010-09-02,2921.39,70700851.0,,14.75,22.92,2.34,3.07,
2010-09-03,2920.21,72641027.0,,14.73,22.65,2.34,3.09,
2010-09-06,2975.09,93855681.0,,14.99,23.28,2.38,3.15,
2010-09-07,2983.11,73519361.0,,14.99,23.58,2.38,3.17,
2010-09-08,2980.97,72872002.0,,14.95,23.61,2.37,3.18,
2010-09-09,2926.46,81395554.0,,14.73,23.0,2.34,3.07,
2010-09-10,2932.55,65086704.0,,14.74,23.2,2.34,3.08,
2010-09-13,2962.32,67279900.0,,14.86,23.49,2.36,3.11,
2010-09-14,2965.01,70105903.0,,14.84,23.71,2.36,3.12,
2010-09-15,2913.19,71619642.0,,14.64,23.37,2.33,3.09,
2010-09-16,2857.79,74074284.0,,14.38,22.42,2.29,3.0,
2010-09-17,2861.37,51938867.0,,14.37,22.32,2.29,2.95,
2010-09-20,2849.83,50283104.0,,14.33,22.29,2.28,2.93,
2010-09-21,2857.48,35751881.0,,14.38,22.21,2.29,2.93,
2010-09-27,2905.03,49071823.0,,14.54,22.63,2.32,2.99,
2010-09-28,2880.91,58660826.0,,14.43,22.58,2.3,2.95,
2010-09-29,2874.81,56782236.0,,14.44,22.55,2.3,2.97,
2010-09-30,2935.57,63000247.0,,14.7,22.76,2.34,3.04,
2010-10-08,3044.23,99994720.0,,15.2,24.27,2.42,3.23,
2010-10-11,3132.9,158734904.0,,15.64,24.98,2.49,3.32,
2010-10-12,3172.73,127361705.0,,15.85,25.56,2.52,3.44,
2010-10-13,3217.58,144607773.0,,16.0,25.43,2.54,3.46,
2010-10-14,3224.14,179611838.0,,16.18,25.59,2.57,3.41,
2010-10-15,3327.68,193414140.0,,16.79,26.27,2.67,3.48,
2010-10-18,3306.16,217882051.0,,16.74,25.7,2.64,3.42,
2010-10-19,3375.67,130441791.0,,17.0,26.33,2.68,3.5,
2010-10-20,3396.88,166528460.0,,17.04,27.45,2.69,3.62,
2010-10-21,3374.69,123883245.0,,16.89,27.61,2.66,3.61,
2010-10-22,3378.66,116361857.0,,16.84,27.44,2.65,3.6,
2010-10-25,3481.08,145433105.0,,17.25,27.83,2.72,3.75,
2010-10-26,3466.08,142636999.0,,17.12,27.82,2.7,3.78,
2010-10-27,3403.87,123761570.0,,16.79,26.33,2.65,3.66,
2010-10-28,3397.69,98349456.0,,16.49,25.98,2.61,3.56,
2010-10-29,3379.98,100458970.0,,16.02,25.15,2.56,3.55,
2010-11-01,3473.0,126269148.0,,16.18,26.7,2.57,3.61,
2010-11-02,3463.13,154911450.0,,16.13,26.4,2.56,3.59,
2010-11-03,3420.34,126359303.0,,16.07,26.04,2.55,3.54,
2010-11-04,3480.5,116799481.0,,16.34,26.68,2.6,3.62,
2010-11-05,3520.8,137688027.0,,16.57,27.13,2.63,3.69,
2010-11-08,3548.57,126470759.0,,16.67,27.23,2.64,3.75,
2010-11-09,3523.95,122454533.0,,16.52,26.88,2.62,3.74,
2010-11-10,3499.11,120078578.0,,16.41,26.78,2.6,3.7,
2010-11-11,3509.98,138976233.0,,16.6,27.02,2.63,3.7,
2010-11-12,3291.83,160733850.0,,15.8,24.93,2.5,3.44,
2010-11-15,3314.89,102315724.0,,15.86,25.32,2.52,3.42,
2010-11-16,3169.54,108307072.0,,15.19,23.73,2.41,3.27,
2010-11-17,3103.91,83258080.0,,14.95,23.01,2.37,3.22,
2010-11-18,3147.96,65697292.0,,15.15,23.46,2.39,3.27,
2010-11-19,3178.85,83347654.0,,15.22,23.94,2.4,3.32,
2010-11-22,3171.94,83212776.0,,15.15,23.92,2.39,3.29,
2010-11-23,3107.18,77399591.0,,14.86,23.13,2.34,3.21,
2010-11-24,3177.04,75332083.0,,14.98,23.93,2.36,3.36,
2010-11-25,3223.48,83442094.0,,15.17,24.27,2.39,3.43,
2010-11-26,3194.85,64467824.0,,15.02,23.97,2.37,3.38,
2010-11-29,3190.05,58994892.0,,14.99,24.17,2.36,3.42,
2010-11-30,3136.99,85762355.0,,14.82,23.81,2.33,3.37,
2010-12-01,3136.02,48882668.0,,14.83,23.78,2.33,3.37,
2010-12-02,3155.06,61023908.0,,14.98,23.96,2.35,3.41,
2010-12-03,3158.16,50475354.0,,14.99,23.64,2.35,3.43,
2010-12-06,3165.57,56362630.0,,15.11,23.85,2.37,3.37,
2010-12-07,3200.34,58483653.0,,15.21,24.04,2.39,3.4,
2010-12-08,3171.88,59515663.0,,15.05,24.09,2.36,3.36,
2010-12-09,3123.37,66152965.0,,14.86,23.45,2.33,3.31,
2010-12-10,3161.98,57108105.0,,15.01,23.99,2.35,3.37,
2010-12-13,3261.06,95713739.0,,15.44,24.73,2.42,3.5,
2010-12-14,3269.47,84104241.0,,15.46,24.99,2.42,3.55,
2010-12-15,3247.64,72269785.0,,15.37,24.71,2.4,3.54,
2010-12-16,3230.67,56799625.0,,15.36,24.65,2.38,3.51,
2010-12-17,3225.66,44919147.0,,15.31,24.57,2.38,3.51,
2010-12-20,3178.66,74759693.0,,15.09,24.37,2.34,3.47,
2010-12-21,3249.51,79852420.0,,15.39,25.25,2.39,3.54,
2010-12-22,3215.45,69936258.0,,15.25,24.99,2.37,3.52,
2010-12-23,3188.61,61315847.0,,15.17,24.49,2.35,3.43,
2010-12-24,3162.96,55137767.0,,15.08,23.9,2.34,3.36,
2010-12-27,3099.71,70017107.0,,14.84,24.17,2.3,3.28,
2010-12-28,3044.93,56325749.0,,14.61,23.44,2.26,3.22,
2010-12-29,3061.83,45192775.0,,14.69,23.7,2.27,3.25,
2010-12-30,3064.1,54281429.0,,14.74,23.98,2.28,3.22,
2010-12-31,3128.26,62566078.0,,14.99,24.52,2.31,3.3,
2011-01-04,3189.68,85410440.0,,15.4,26.92,2.4,3.71,
2011-01-05,3175.66,79268810.0,,15.3,26.62,2.39,3.75,
2011-01-06,3159.64,59681092.0,,15.19,26.63,2.37,3.72,
2011-01-07,3166.62,84093233.0,,15.31,26.55,2.39,3.73,
2011-01-10,3108.19,65494406.0,,15.09,26.3,2.36,3.61,
2011-01-11,3124.92,56985917.0,,15.18,26.15,2.37,3.59,
2011-01-12,3142.34,58498518.0,,15.26,26.44,2.38,3.65,
2011-01-13,3141.28,51936988.0,,15.32,26.12,2.39,3.63,
2011-01-14,3091.86,53351439.0,,15.16,25.3,2.36,3.57,
2011-01-17,2974.35,66807562.0,,14.64,24.41,2.29,3.34,
2011-01-18,2977.65,42964564.0,,14.62,24.65,2.29,3.31,
2011-01-19,3044.85,56571942.0,,14.86,25.49,2.33,3.41,
2011-01-20,2944.71,61046643.0,,14.43,24.73,2.26,3.27,
2011-01-21,2983.46,73102966.0,,14.63,25.31,2.29,3.32,
2011-01-24,2954.23,65472545.0,,14.54,24.69,2.28,3.3,
2011-01-25,2938.65,48982689.0,,14.48,24.45,2.27,3.26,
2011-01-26,2978.43,43374979.0,,14.62,24.77,2.29,3.31,
2011-01-27,3026.47,82585919.0,,14.83,25.46,2.32,3.38,
2011-01-28,3036.74,63013589.0,,14.83,25.16,2.32,3.36,
2011-01-31,3076.51,67105914.0,,15.03,25.28,2.35,3.43,
2011-02-01,3077.28,49862530.0,,15.05,25.56,2.36,3.41,
2011-02-09,3040.95,60394145.0,,14.85,24.63,2.33,3.37,
2011-02-10,3104.16,66603662.0,,15.07,25.43,2.36,3.43,
2011-02-11,3120.96,75975553.0,,15.12,25.65,2.37,3.47,
2011-02-14,3219.14,121302331.0,,15.54,26.72,2.44,3.6,
2011-02-15,3217.67,109554438.0,,15.52,26.7,2.43,3.61,
2011-02-16,3248.53,91334283.0,,15.63,27.44,2.45,3.67,
2011-02-17,3245.91,88964695.0,,15.61,27.06,2.45,3.67,
2011-02-18,3211.88,75378684.0,,15.5,26.96,2.42,3.62,
2011-02-21,3257.91,79399776.0,,15.65,27.87,2.45,3.68,
2011-02-22,3163.58,107863741.0,,15.26,26.96,2.39,3.52,
2011-02-23,3174.74,71324854.0,,15.25,27.08,2.38,3.54,
2011-02-24,3190.94,66486893.0,,15.32,27.06,2.39,3.59,
2011-02-25,3197.62,61619275.0,,15.33,26.84,2.4,3.62,
2011-02-28,3239.56,76630663.0,,15.45,27.29,2.41,3.66,
2011-03-01,3254.89,88566954.0,,15.62,27.74,2.43,3.68,
2011-03-02,3243.3,80910641.0,,15.58,27.46,2.42,3.62,
2011-03-03,3221.72,101219997.0,,15.57,27.31,2.42,3.56,
2011-03-04,3270.67,80013915.0,,15.78,28.0,2.45,3.64,
2011-03-07,3334.51,118187197.0,,16.08,28.5,2.5,3.81,
2011-03-08,3337.46,84878655.0,,16.06,28.48,2.5,3.77,
2011-03-09,3338.86,78026361.0,,16.06,28.45,2.5,3.78,
2011-03-10,3280.26,78212642.0,,15.79,28.27,2.46,3.71,
2011-03-11,3247.38,67208335.0,,15.65,27.94,2.43,3.65,
2011-03-14,3262.92,63689783.0,,15.65,27.86,2.43,3.69,
2011-03-15,3203.96,96033979.0,,15.4,26.98,2.4,3.62,
2011-03-16,3248.2,78859520.0,,15.58,27.4,2.42,3.69,
2011-03-17,3197.1,85687114.0,,15.42,27.04,2.4,3.59,
2011-03-18,3215.69,61340161.0,,15.24,26.94,2.39,3.66,
2011-03-21,3207.11,59105037.0,,15.28,26.52,2.4,3.65,
2011-03-22,3222.96,57248684.0,,15.34,26.7,2.41,3.64,
2011-03-23,3264.93,72077585.0,,15.53,27.01,2.43,3.72,
2011-03-24,3251.36,61304244.0,,15.5,26.79,2.43,3.68,
